		Janv	Fevr	Mars	Avri	Mai	Juin	Juil	Aout	Sept	Octo	Nove	Dece
Casablanca	13	14	15	16	18	20	22	23	22	19	16	13
Phom-Penh	27	27	29	30	29	29	28	28	28	27	27	26
Bombay		25	25	27	29	30	29	28	27	28	29	28	26
Jakarta		26	26	27	27	28	27	27	27	28	27	27	27
Kaboul		-1	0	7	13	18	23	25	24	20	14	7	1
Barcelone	26	26	27	28	28	27	26	26	26	27	27	26
SanSebastian	8	9	11	13	15	17	19	20	19	15	12	8
Berlin		-1	1	4	9	14	17	19	18	15	10	5	1
Cap-Town	22	22	21	18	15	14	13	14	15	17	19	20
Agadez		20	23	27	32	34	34	32	31	32	30	24	21
Zurich		0	1	5	8	12	15	18	17	14	10	4	1
Bucarest	-2	-1	4	11	17	21	22	22	18	12	6	1
Bagdad		9	12	17	22	28	33	35	33	30	24	17	11
Vostok		-31	-45	-55	-65	66	65	68	-68	-66	-57	-43	-32
StPierre	-2	-3	-1	2	5	9	13	15	12	9	5	0
Tripoli		12	13	15	19	23	26	27	28	26	22	17	13
	
