		Janv	Fevr	Mars	Avri	Mai	Juin	Juil	Aout	Sept	Octo	Nove	Dece
Amsterdam	3	3	5	8	12	16	18	17	16	11	6	4
Athenes		8	9	11	15	20	24	27	27	24	19	14	10
Bangkok		25	27	29	30	29	28	28	28	28	27	26	25
Berne		0	1	5	8	14	18	20	18	14	9	4	1
Beyrouth	14	14	16	18	22	24	27	28	26	24	19	16
Bombay		24	24	26	28	29	29	27	27	27	28	27	25
Bonn		-1	0	4	7	13	15	18	17	14	9	4	1
Bruxelles	3	3	5	8	12	16	17	17	15	10	5	3
Buenos-Aires	23	24	21	20	16	14	10	11	13	13	17	20
Canberra	21	21	20	18	15	12	12	13	15	17	19	21
Caracas		18	18	19	21	22	21	20	20	20	21	20	19
Copenhague	1	0	2	6	11	15	17	16	13	8	3	2
Damas		5	5	11	17	19	24	25	26	24	17	12	6
Hong-Kong	24	24	27	27	32	32	32	32	32	29	29	27
Istanbul	5	4	5	10	15	20	22	22	18	14	10	7
Jerusalem	9	9	13	16	21	22	24	24	23	21	16	11
Le_Caire	13	14	17	20	25	27	29	28	26	24	20	15
Lisbonne	11	12	13	15	17	20	22	24	21	18	14	15
Londres		3	4	6	8	11	15	17	16	13	9	6	5
Madrid		4	6	9	12	16	20	24	23	19	13	8	5
Mexico		12	13	16	18	19	19	17	17	17	16	14	12
Montreal	-11	-11	-4	5	12	18	20	18	14	8	0	-8
Moscou		-10	-9	-4	5	12	17	19	17	11	4	-2	-7
Nairobi		19	19	19	19	18	16	16	16	18	19	18	18
New_York	-1	0	3	10	16	20	23	23	21	15	7	2
Oslo		-5	-4	1	5	11	15	17	16	11	6	1	-2
Paris		4	4	7	11	14	17	19	19	16	11	7	4
Rio_de_Janeiro	30	30	30	27	26	22	22	22	24	24	26	28
Rome		8	8	11	13	18	21	24	24	22	17	12	9
San_Francisco	10	12	13	14	14	15	15	15	17	16	14	11
Singapour	27	27	27	28	27	28	28	27	27	27	27	27
Sofia		-2	0	5	11	15	18	21	21	17	12	6	-1
Stockholm	-3	-3	-1	3	9	13	17	15	11	6	2	-2
Sydney		21	21	20	18	15	12	12	13	15	17	19	21
Tokyo		3	4	7	12	17	21	25	26	22	17	11	6
Tunis		9	11	15	17	19	23	25	26	24	20	16	14
Vienne		-1	1	5	9	14	17	19	18	15	9	4	1
