Espèces	Janv	Fevr	Mars	Avri	Mai	Juin	Juil	Aout	Sept	Octo	Nove	Dece
Urogymnus Africanus	1	0	0	0	0	0	0	0	0	0	0	0
Dasyatis Margarita	1	1	2	0	4	0	0	2	0	0	0	0
Elops Lacerta	86	46	20	22	36	18	43	107	73	119	71	20
Ethmalosa Fimbriata	1396	1184	1336	1965	3542	6420	2376	368	2939	1223	387	2034
Ilisha Africana	1	0	0	0	0	0	0	0	0	0	0	0
Sardinella Eba	11	11	5	4	1	0	0	0	0	0	0	0
Pellonula Afzeliusi	557	0	28	274	7	136	113	354	641	414	172	235
Lagocephalus Laevigatus	4	0	0	0	0	0	0	0	0	0	0	0
Hepsetus Odoe	0	0	0	0	0	0	0	0	0	0	1	1
Chrysichthys Spp.	346	331	160	43	103	16	20	8	210	119	35	65
Eutropius Mentalis	0	0	0	0	0	1	3	0	0	0	1	0
Strongylura Senegalensis	69	25	10	32	15	5	0	12	8	6	4	8
Hyporamphus Sp.	0	0	0	0	0	3	0	3	47	32	0	1
Aplocheilishthys Spilau.	24	9	7	26	11	15	8	3	8	1	0	4
Sphyraena Piscatorum	27	12	8	20	32	24	18	10	3	5	1	0
Liza Falcipinnis	25	32	115	85	91	33	4	129	25	49	57	92
Polydactylus Quadrifilis	125	31	12	0	0	0	2	2	3	9	0	0
Galeoides Decadactylus	59	43	9	2	3	0	0	2	11	0	0	0
Epinephelus Aeneus	5	10	9	12	12	4	0	0	0	0	0	0
Lutjanus Goreensis	15	13	9	19	12	3	4	3	3	6	2	1
Pomadasys Jubelini	58	15	21	29	17	28	25	6	9	31	42	4
Gerres Spp.	498	652	428	516	510	461	66	197	243	433	92	84
Pseudotolithus senega.	1	0	0	0	0	0	0	0	0	0	0	0
Corvina Nigrita	43	0	2	0	0	0	2	0	1	6	0	0
Caraux Senegalus	52	27	24	31	55	3	0	13	2	0	0	1
Caranx Hippos	27	11	1	11	12	8	1	3	14	7	13	3
Vomer Setapinnis	24	21	0	0	0	0	0	0	1	0	0	0
Scyris Alexandrinus	16	5	3	4	4	0	0	0	0	0	0	1
Hypacanthus Amia	6	3	0	1	0	0	0	0	0	0	0	1
Caesiomorus Glaucus	31	68	8	7	4	0	0	0	0	0	0	0
Chloroscombrus chrysurus	478	411	122	25	23	5	0	0	1	0	0	0
Trachinotus Falcatus	0	0	0	0	1	0	0	0	0	0	0	1
Monodactylus Sebae	10	12	19	13	3	7	8	3	9	9	6	2
Hemichromis Fasciatus	84	71	42	39	25	10	12	5	17	11	6	50
Tylochromis Jentinki	0	3	2	2	7	1	2	0	0	3	5	8
Tilapia Spp	123	120	200	90	328	108	148	309	204	163	40	92
Cybium Tritor	13	0	1	17	4	0	0	1	0	0	0	1
Trichiurus Lepturus	1	0	0	0	0	0	0	0	0	0	0	0
Bathygobuis Soporator	0	0	0	0	1	0	1	0	2	0	0	0
Citharichthys Stampflii	14	25	19	36	24	43	14	40	45	29	13	7
Synaptura Lusitanica	0	0	0	0	0	1	0	0	0	0	0	0
Cynoglosaus Senegalensis	10	11	11	5	5	9	4	15	11	10	14	2

