Recette	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13
SAUCES	87	144	0	0	10	13	92	21	35	0	6	14	15
POTAGES	113	118	30	21	32	15	54	3	7	15	6	9	8
PATES, TERRINES, GELEES	17	21	2	4	8	0	20	4	6	11	5	2	3
HORS D'OEUVRES	95	371	15	18	7	19	45	18	24	19	9	10	10
FRUITS DE MER, CRUSTACES	51	54	56	16	1	3	22	14	13	4	17	3	8
ESCARGOTS, GRENOUILLES	9	8	6	3	2	0	8	2	1	0	0	2	0
OEUFS	107	174	8	11	23	14	58	1	4	2	4	8	6
QUICHES, GALETTES, PIZZAS	0	0	17	9	0	3	2	0	0	0	0	2	0
POISSONS D'EAU DOUCE	44	84	9	4	19	3	15	1	1	0	0	1	1
POISSONS DE MER	131	188	51	34	6	24	45	12	10	21	14	13	10
VOLAILLES, FOIES GRAS	276	185	12	15	32	11	56	17	14	10	17	7	6
GIBIER A POIL	24	44	1	4	9	1	17	2	1	3	2	4	0
GIBIER A PLUME	103	60	2	12	15	2	36	3	0	4	1	5	3
BOEUF	115	131	5	6	10	10	42	9	5	4	4	6	2
VEAU	119	111	3	6	19	9	49	4	8	6	5	6	5
MOUTON, AGNEAU	94	79	5	12	8	4	33	1	1	4	7	2	3
PORC	58	67	22	8	12	10	18	1	0	0	8	3	1
VIANDES DIVERSES	0	0	1	1	2	3	4	1	1	0	1	0	0
LAPIN	0	5	2	3	0	4	0	0	0	3	3	1	1
LEGUMES CHAUDS	230	214	35	23	44	36	160	18	9	9	7	19	19
LEGUMES FROIDS	39	25	9	0	10	0	0	1	1	1	0	0	0
PATES ALIMENTAIRES	38	20	4	0	4	9	19	1	0	4	3	2	3
PATES	37	39	2	0	0	1	20	5	0	0	0	4	1
PATISSERIES	12	178	3	6	15	7	38	3	2	8	4	8	7
GLACES, SORBETS	87	116	0	0	0	1	20	4	5	8	4	2	12
PUDDINGS, SOUFFLES, CREMES	122	189	5	6	10	7	61	13	10	10	5	5	4
CREPES, BEIGNETS, GAUFRES	14	38	10	3	16	3	38	2	0	0	2	1	0
FRUITS	97	104	2	5	6	5	44	2	10	6	4	5	8
CONFISERIES, DOUCEURS	0	60	4	4	11	2	23	1	0	6	1	0	1

