MOU	MAC	GYM	VAS	SAB	GRA	PIE	MO	MOp	ZDS	CDV	P04	S04	NH4	N02	N03	Fer	Si02	TAC	TH	Ca	Mg	Chla	LAC	sig
1	0	0	0	1	1	0	8	25	99	25	50	4	190	3	35	20	950	0.36	0.34	6.8	0.2	0.2	Lac de l'Aiguilette	AIG
1	0	0	0	1	1	0	8	23	10.0	87	75	3	360	22	64	15	1110	1.50	2.40	34.0	8.2	5.5	Lac d Anterne	ANT
0	1	1	0	1	0	0	13	30	1.2	180	340	7	650	9	66	300	2000	3.10	4.00	544.0	15.0	10.2	Lac Arvouin	ARV
0	1	1	0	1	0	0	11	33	5.8	128	700	5	760	6	39	27	360	1.70	2.40	27.2	7.2	4.5	Lac Benit	BEN
0	0	0	0	1	1	1	1	6	8.0	7	90	3	210	21	53	20	370	0.27	0.34	6.8	0.0	0.7	Lac Blanc	BLA
1	0	0	0	1	1	0	2	2	99	14	240	6	180	17	126	20	1200	0.27	1.02	6.8	84.0	0.1	Lac Bleu	BLE
1	0	0	0	1	0	0	12	31	6.7	9	100	12	275	4	38	70	950	0.36	0.38	6.8	7.0	3.3	Lac du Brévent	BRE
1	0	0	0	1	0	0	1	38	99	4	250	1	160	4	49	15	450	0.34	0.34	0.0	43.0	1.5	Lac des Cheserys	CHE
1	0	0	1	0	0	0	45	52	99	7	80	11	180	3	35	25	550	0.36	0.34	6.8	0.0	0.7	Lac du Creux aux Marmottes	CRE
0	1	0	1	0	0	0	28	45	99	120	3000	7	700	8	41	110	860	2.00	4.10	13.6	24.0	12.6	Lac Damoz des Moulins	DAM
0	0	0	0	1	1	0	3	61	3.0	111	450	5	350	7	49	70	380	1.70	2.40	34.0	6.0	10.0	Lac de Darbon	DAR
0	0	0	1	0	0	0	53	65	1.0	142	100	8	420	4	28	110	950	2.04	1.70	34.0	0.0	10.1	Lac de Flaine	FLA
1	0	0	0	0	0	1	10	25	8.0	15	550	2	3000	12	56	25	580	0.20	0.70	6.8	3.8	3.7	Lac de Pormanaz	POR
0	1	0	1	0	0	0	19	65	8.6	156	2900	4	590	6	34	30	660	2.40	4.10	40.8	14.4	6.1	Lac de R0l	R0I
1	0	0	0	1	0	0	8	65	99	105	3000	3	320	9	63	35	2000	1.70	2.70	20.4	12.0	2.1	Lac de Tavaneuse	TAV
1	0	0	1	0	0	0	36	55	99	48	160	4	40	0	14	30	2500	0.85	1.00	13.6	17.0	5.2	Lac de Vernant	VIN
0	0	1	0	1	1	0	3	42	99	530	1180	17	500	4	42	15	2100	4.60	10.90	116.0	25.5	11.9	Lac Vert	VET

