ALT	AMX	AMY	EXP	NEG	Ad	FF	FC	LA	PL	RN	LTH	GEL	AO	PER	ZM	MNG	LAC	sig
2115	2312	2200	2	0	-3.4	0	0	0	60	40	2	8	0.40	275	1.0	0	Lac de l'Aiguilette	AIG
2060	2493	2200	1	0	25.0	0	0	20	20	40	4	7	11.50	1650	12.5	1	Lac d Anterne	ANT
1669	2099	1793	5	0	6.4	1	9	0	60	30	1	8	1.80	522	6.3	0	Lac Arvouin	ARV
1449	2150	1850	1	0	83.0	5	10	0	25	60	2	6	5.05	920	6.2	15	Lac Benit	BEN
2352	2944	2550	4	25	10.9	0	0	0	10	90	2	8	1.36	550	9.8	1	Lac Blanc	BLA
2299	3192	2750	8	20	23.4	0	0	0	5	95	2	8	0.32	230	7.5	0	Lac Bleu	BLE
2127	2525	2215	8	0	2.2	0	0	0	30	70	2	8	2.90	900	20.0	2	Lac du Brévent	BRE
2169	2845	2420	4	10	4.4	0	0	0	60	40	2	8	0.60	350	5.1	10	Lac des Cheserys	CHE
2125	2525	2200	8	0	0.3	0	0	0	20	80	2	8	0.19	100	1.0	1	Lac du Creux aux Marmottes	CRE
1615	2936	1650	2	0	2.0	0	10	0	50	30	1	5	0.60	280	2.5	1	Lac Damoz des Moulins	DAM
1816	2198	1964	5	0	6.4	0	5	0	20	80	1	8	1.98	637	5.6	15	Lac de Darbon	DAR
1416	2480	1910	7	5	129.4	0	30	10	335	25	1	7	3.45	820	5.5	40	Lac de Flaine	FLA
1947	2323	2100	1	0	68.1	0	0	0	70	30	2	6	1.31	490	9.4	1	Lac de Pormanaz	POR
1659	2980	1733	8	0	7.1	0	15	0	60	25	1	6	3.52	765	11.3	0	Lac de R0l	R0I
1806	2146	1904	1	0	5.4	0	35	10	40	20	3	8	2.15	637	5.9	0	Lac de Tavaneuse	TAV
1831	2204	2000	7	0	11.5	10	20	5	0	40	5	6	3.05	390	9.1	30	Lac de Vernant	VIN
1269	2287	1680	5	0	12.0	0	5	30	40	25	5	5	0.82	400	8.3	0	Lac Vert	VET
1355	2539	1850	1	0	25.0	0	0	0	40	60	1	5	2.30	640	3.7	15	Lac des Confins	CON
2275	2628	2400	1	5	7.1	0	0	0	20	80	2	9	5.30	1510	22.0	15	Lac Cornu	COR
1533	2474	2050	1	0	52.0	5	10	5	60	20	1	6	4.05	930	5.1	7	Lac deGers	GER
2173	3196	2420	7	10	29.8	0	0	0	20	80	2	8	7.55	1127	8.5	10	Lac Jovet	JOV
1948	2032	2000	1	0	0.6	0	0	10	80	10	5	6	0.24	270	1.4	0	Laouchet de Pormenaz	LAO
1735	2408	2100	2	0	11.1	0	0	0	70	30	1	6	5.50	1200	2.8	20	Lac de Lessy	LES
2494	2685	2500	1	30	1.6	0	0	0	10	90	2	9	4.00	1000	18.8	0	Lac Noir	NOI
1751	2198	1900	1	0	3.8	0	0	0	50	50	1	5	0.44	250	1.8	1	Lac d'Ocha	OCH
1430	2000	1750	1	0	7.8	20	40	0	20	20	1	4	0.30	250	5.8	1	Lac de Petet0z	PET
2543	2870	2640	6	30	7.7	0	0	0	5	95	2	9	0.83	980	1.3	1	Lac au Plan du Buet	BUE
2162	2845	2350	4	0	12.5	0	0	0	40	60	2	7	0.24	180	5.8	1	Lac de la Remusz	REM
2099	2660	2400	7	60	20.0	0	0	0	0	100	1	12	4.00	900	1.0	0	Lac des Chambres	CHA
1950	2757	2300	4	30	29.0	0	0	0	30	70	1	8	75.00	1300	2.0	10	Lac de la Vogealle	VOG

