Numero RDT PLM ZON ARG LIM SAB VRT PGM MST AZP VRTC
1 6,49 84 1 21,5 60,6 17,9 3 43,1 34,49 3,82 2
2 15,58 112 1 21 58,3 20,7 3 38,3 39,18 3,78 2
3 7,29 68 1 26,2 47,6 26,2 3 45,3 26,89 2,61 2
4 1,09 88 1 29,7 54,5 15,8 3 29,09 23,09 3,78 2
5 5,1 174 1 22,8 59 18,2 3 42,8 18,1 3,41 2
6 2,03 63 1 19,6 68 12,4 3 41,26 20,43 3,04 2
7 6,33 92 1 26,7 53,7 19,6 3 38,57 20,93 2,26 2
8 17,3 117 1 34 44,9 21,1 1 31,8 40,7 3,85 1
9 6,97 58 1 16,7 57,6 25,7 4 42,4 29,97 2,69 3
10 20,35 116 1 37,4 49 13,6 6 42,9 40,75 3,62 3
11 7,888 80 1 44,2 44,1 11,7 1 39,1 22,29 3,61 1
12 9,38 46 1 27,5 44,2 28,3 1 41,06 29,78 3,32 1
13 11 189 1 39,4 34,5 36,1 2 41,53 29,6 3,51 2
14 9,852 112 1 48,4 29,5 22,1 1 33,56 32,35 2,78 1
15 17,33 180 1 32,4 47,5 20,1 2 40,5 38,03 4,02 2
16 12,23 234 1 37,6 40,9 21,5 2 34,7 35,63 4,27 2
17 12,57 162 1 38,5 44,8 16,7 1 44,5 53,97 3,22 1
18 6,323 72 2 15,4 27 57,6 1 44,2 29,32 2,99 1
19 1,416 86 2 13 26,7 60,3 1 33,54 18,42 3,35 1
20 0,52 67 2 14,8 23,5 61,7 1 33,91 13,72 3,06 1
21 15,98 95 2 18,2 31,6 50,2 1 50,8 34,38 4,17 1
22 12,85 88 2 19,7 32,5 47,8 1 39,2 36,65 2,04 1
23 12,04 95 2 19,1 44,3 36,6 5 42,7 34,04 3,1 3
24 14,11 140 2 22,8 34,9 42,3 5 44,9 28,31 2,72 3
25 21,67 126 2 26,6 39,8 33,6 1 47,2 57,67 4,17 1
26 3,236 96 2 18,9 40,8 40,3 1 30,22 22,64 1,82 1
27 20,21 130 2 31,9 42 26,1 1 40 45,21 3,18 1
28 0,12 90 2 20 36,7 43,3 1 24 16,52 3,36 1
29 12,106 129 2 21 29,7 49,3 2 34,2 35,51 3,21 2
30 11,01 87 2 22,3 28,3 49,4 1 41,6 32,01 3,26 1
31 13,42 150 2 27,5 36,7 35,8 2 29,8 40,42 4,11 2
32 15,868 174 2 32,6 33,7 33,7 1 53,9 41,37 3,57 1
33 4,8 132 3 15,6 12,1 72,3 3 36,51 16,2 2,86 2
34 9,18 185 3 12,4 10,9 76,7 1 30,4 23,18 4,19 1
35 8,7 166 3 16,3 29,9 53,8 2 37,1 20,3 3,07 2
36 7,92 102 3 16,9 27,4 55,7 2 27,1 19,32 2,67 2
37 8,54 120 3 16,1 26,4 57,5 2 25,3 30,54 2,02 2
38 9,42 119 3 19,4 40,2 40,4 2 27,5 27,82 2,89 2
39 12,46 122 3 19,8 28,3 51,9 2 33,19 25,66 3,41 2
40 4,58 194 3 27,2 40,9 31,9 3 31,8 27,38 2,71 2
41 15,1 117 3 31,1 47,7 21,2 4 30,7 41,3 3,84 3
42 12,35 108 3 19,2 30,7 50,1 1 42,5 36,15 2,26 1
43 11,56 72 3 17,6 25,5 56,9 1 47,3 33,76 2,42 1
44 10,55 72 3 13,2 14,6 72,2 1 39,8 24,95 2,97 1
45 16,46 216 3 13,8 16,9 69,3 1 49,2 44,66 3,37 1
46 9,08 67 3 9,6 4 86,4 1 41,2 27,08 3,07 1
47 12,072 252 3 28,3 24,2 47,5 2 31,19 57,07 3,64 2
48 10,003 198 3 27,2 25,1 47,7 1 39,8 59,5 3,64 1
49 9,015 240 3 24,4 35,5 40,1 2 27,2 31,52 2,55 2
50 11,122 180 3 23,8 20,6 55,6 1 34,44 22,62 4,23 1
