Numero ZON VRT RDTC PLMC ARGC LIMC SABC PGMC MSTC VRTC
1 1 3 1 1 2 3 1 3 2 2
2 1 3 3 2 2 3 1 2 3 2
3 1 3 1 1 2 3 1 3 1 2
4 1 3 1 1 3 3 1 1 1 2
5 1 3 1 3 2 3 1 3 1 2
6 1 3 1 1 2 3 1 2 1 2
7 1 3 1 1 2 3 1 2 1 2
8 1 1 3 2 3 3 1 1 3 1
9 1 4 1 1 1 3 1 3 2 3
10 1 6 3 2 3 3 1 3 3 3
11 1 1 1 1 3 3 1 2 1 1
12 1 1 2 1 3 3 2 2 2 1
13 1 2 2 3 3 2 2 2 2 2
14 1 1 2 2 3 1 1 1 2 1
15 1 2 3 3 3 3 1 2 3 2
16 1 2 2 3 3 2 1 2 3 2
17 1 1 3 3 3 3 1 3 3 1
18 2 1 1 1 1 1 3 3 2 1
19 2 1 1 1 1 1 3 1 1 1
20 2 1 1 1 1 1 3 1 1 1
21 2 1 3 2 1 2 3 3 2 1
22 2 1 3 1 2 2 2 2 3 1
23 2 5 2 2 1 3 2 3 2 3
24 2 5 3 3 2 2 2 3 2 3
25 2 1 3 2 2 2 2 3 3 1
26 2 1 1 2 1 2 2 1 1 1
27 2 1 3 2 3 2 1 2 3 1
28 2 1 1 1 2 2 2 1 1 1
29 2 2 2 2 2 2 2 2 2 2
30 2 1 2 1 2 1 2 3 2 1
31 2 2 3 3 3 2 2 1 3 2
32 2 1 3 3 3 2 2 3 3 1
33 3 3 1 2 1 1 3 2 1 2
34 3 1 2 3 1 1 3 1 1 1
35 3 2 2 3 1 2 3 2 1 2
36 3 2 1 2 1 1 3 1 1 2
37 3 2 1 2 1 1 3 1 2 2
38 3 2 2 2 2 2 2 1 2 2
39 3 2 3 2 2 1 3 1 1 2
40 3 3 1 3 3 2 2 1 2 2
41 3 4 3 2 3 3 1 1 3 3
42 3 1 3 2 1 2 3 3 3 1
43 3 1 2 1 1 1 3 3 2 1
44 3 1 2 1 1 1 3 2 1 1
45 3 1 3 3 1 1 3 3 3 1
46 3 1 2 1 1 1 3 2 2 1
47 3 2 2 3 3 1 2 1 3 2
48 3 1 2 3 3 1 2 2 3 1
49 3 2 2 3 2 2 2 1 2 2
50 3 1 2 3 2 1 3 2 1 1
