Id        	FL	RW	CL	CW	BD
Crabe1	15.4	11.8	33	37.5	13.6
Crabe2	15.7	12.6	35.8	40.3	14.5
Crabe3	15.9	12.7	34	38.9	14.2
Crabe4	16.1	11.6	33.8	39	14.4
Crabe5	16.1	12.8	34.9	40.7	15.7
Crabe6	7.2	6.5	14.7	17.1	6.1
Crabe7	9	8.5	19.3	22.7	7.7
Crabe8	9.1	8.1	18.5	21.6	7.7
Crabe9	9.1	8.2	19.2	22.2	7.7
Crabe10	9.5	8.2	19.6	22.4	7.8
Crabe11	21.6	14.8	43.4	48.2	20.1
Crabe12	21.9	15.7	45.4	51	21.1
Crabe13	22.1	15.8	44.6	49.6	20.5
Crabe14	23	16.8	47.2	52.1	21.5
Crabe15	23.1	15.7	47.6	52.8	21.6
Crabe16	10.7	9.7	21.4	24	9.8
Crabe17	11.4	9.2	21.7	24.1	9.7
Crabe18	12.5	10	24.1	27	10.9
Crabe19	12.6	11.5	25	28.1	11.5
Crabe20	12.9	11.2	25.8	29.1	11.9
