Pays;Suici;Homic;Arout;Aindu;Aautr;Cirfo
Autriche;241;16;330;43;363;325
France;156;9;225;10;535;328
Portugal;85;19;349;7;281;345
Allemagn;210;12;230;21;298;269
Belgique;156;10;260;13;367;144
Finlande;251;26;180;29;387;55
Suede;194;11;151;13;384;122
Suisse;225;9;195;26;276;128
Italie;54;11;219;19;224;319
IrlNord;40;136;215;18;320;43
Dannemar;241;6;168;11;230;107
Islande;101;5;179;23;380;9
Ecosse;82;15;155;18;342;59
Espagne;40;4;136;17;237;225
Norvege;104;6;138;22;346;41
IrlSud;38;7;182;32;314;37
Paysbas;89;7;169;10;218;47
Angleter;79;10;130;14;203;36
Usa;121;102;220;26;273;158
