EX;QU;AC;SP;SU;AT;CT;BT;VT;BV;OV;CP;ACcd;SPcd;SUcd;ATcd;CTcd;BTcd;VTcd;BVcd;OVcd;CPcd
1;1;3,5;12,25;11,75;0;0;2;0;0;2;7;2;3;3;1;1;3;1;1;2;3
2;1;5,9;5,5;9;0;2;1;0;0;6;2;3;2;2;1;3;2;1;1;3;2
3;1;2,7;8;7,25;0;1;1;0;0;2;2;1;2;2;1;2;2;1;1;2;2
4;1;6,2;7,65;12,25;0;1;2;0;0;4;5;3;2;3;1;2;3;1;1;3;3
5;1;2,7;4;5;2;1;0;0;0;0;5;1;1;1;2;2;1;1;1;1;3
6;1;2,5;0;6;0;0;1;0;0;1;1;1;1;2;1;1;2;1;1;2;2
7;2;2,5;5;5;0;1;1;0;0;8;4;1;2;1;1;2;2;1;1;3;3
8;2;10,7;28,25;16,5;0;2;3;2;16;14;14;3;3;3;1;3;3;2;2;3;3
9;3;3,5;7;5,5;0;1;1;0;0;3;1;2;2;1;1;2;2;1;1;2;2
10;3;4,5;3,5;4;0;0;1;0;0;0;3;2;1;1;1;1;2;1;1;1;2
11;4;2,5;4,75;4,75;0;1;0;0;2;2;3;1;2;1;1;2;1;1;2;2;2
12;4;8,5;10,25;10,25;0;4;0;0;24;3;0;3;3;3;1;3;1;1;2;2;1
13;3;3;2,5;7,25;0;1;0;0;0;1;2;2;1;2;1;2;1;1;1;2;2
14;5;2,4;4,5;4,5;0;0;2;0;0;0;0;1;1;1;1;1;3;1;1;1;1
15;5;6;8,75;8,25;0;2;2;0;4;4;3;3;2;2;1;3;3;1;2;3;2
16;5;3,5;9;7,5;0;0;1;0;2;6;3;2;2;2;1;1;2;1;2;3;2
17;5;1,7;4;3;1;0;0;0;0;0;0;1;1;1;2;1;1;1;1;1;1
18;6;8;26;22;0;1;2;0;1;5;3;3;3;3;1;2;3;1;2;3;2
19;6;3,9;7;6;0;1;0;0;3;0;9;2;2;2;1;2;1;1;2;1;3
20;6;2,5;4,25;6;0;1;2;0;7;6;4;1;1;2;1;2;3;1;2;3;3
21;6;2,4;6,25;7;0;1;1;0;0;1;2;1;2;2;1;2;2;1;1;2;2
22;6;6,5;14;9;0;2;1;0;0;2;2;3;3;2;1;3;2;1;1;2;2
23;6;7;12;9;0;0;3;0;2;3;2;3;3;2;1;1;3;1;2;2;2
24;7;4,7;4;3,25;0;2;0;0;0;4;1;3;1;1;1;3;1;1;1;3;2
25;7;6,4;14;15,5;0;1;2;0;0;6;6;3;3;3;1;2;3;1;1;3;3
26;7;1,5;18;4;0;2;0;0;0;2;1;1;3;1;1;3;1;1;1;2;2
27;8;2,9;11;9;0;2;1;0;0;2;5;1;3;2;1;3;2;1;1;2;3
28;8;3,7;7,25;10;0;0;1;0;0;4;1;2;2;3;1;1;2;1;1;3;2
29;2;2,2;6,5;6;0;0;1;0;5;19;7;1;2;2;1;1;2;1;2;3;3
30;5;3,7;6,25;8,75;0;1;1;0;7;0;0;2;2;2;1;2;2;1;2;1;1
31;5;7;9;8;0;2;2;0;37;7;3;3;2;2;1;3;3;1;2;3;2
32;5;13;13,5;16;0;3;3;1;28;3;0;3;3;3;1;3;3;2;2;2;1
33;5;13;21;16,75;0;2;1;0;22;8;3;3;3;3;1;3;2;1;2;3;2
34;5;3;4;5;0;0;1;0;11;0;2;2;1;1;1;1;2;1;2;1;2
35;9;12;22;27;0;4;2;0;12;4;4;3;3;3;1;3;3;1;2;3;3
36;9;12;11,5;16,75;1;3;3;0;35;2;3;3;3;3;2;3;3;1;2;2;2
37;8;5,5;15;16;0;2;2;0;42;10;13;3;3;3;1;3;3;1;2;3;3
38;6;7,9;24;19;0;2;2;0;40;17;3;3;3;3;1;3;3;1;2;3;2
39;7;5,5;0;8;0;2;2;0;30;7;7;3;1;2;1;3;3;1;2;3;3
40;4;4;7;7;0;1;1;0;8;6;2;2;2;2;1;2;2;1;2;3;2
41;4;2,5;4,25;4,25;0;2;1;0;25;0;3;1;1;1;1;3;2;1;2;1;2
42;4;4;5;5;2;1;1;1;0;0;4;2;2;1;2;2;2;2;1;1;3
43;4;1,5;3,25;3,25;0;1;0;0;2;0;2;1;1;1;1;2;1;1;2;1;2
44;4;1,5;3;3;0;1;0;0;4;0;6;1;1;1;1;2;1;1;2;1;3
45;4;4,5;4;7,25;0;1;1;1;39;3;2;2;1;2;1;2;2;2;2;2;2
46;4;1,1;15,5;15,5;0;5;0;0;32;15;8;1;3;3;1;3;1;1;2;3;3
47;2;8;11,75;11,75;1;3;2;0;1;3;8;3;3;3;2;3;3;1;2;2;3
48;2;8,5;8,75;11,25;0;0;3;0;21;22;5;3;2;3;1;1;3;1;2;3;3
49;2;4;5;6,5;0;1;2;1;4;15;4;2;2;2;1;2;3;2;2;3;3
50;2;3,5;5;7;0;1;1;0;6;14;8;2;2;2;1;2;2;1;2;3;3
51;2;1,5;1,5;1,25;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2
52;2;1,5;5,6;2;0;0;0;0;0;3;3;1;2;1;1;1;1;1;1;2;2
53;2;1,6;8;6,25;0;0;1;0;0;2;5;1;2;2;1;1;2;1;1;2;3
54;2;5;4;4,75;0;2;2;0;2;3;5;3;1;1;1;3;3;1;2;2;3
55;2;5;3,6;11;1;1;2;0;8;6;4;3;1;3;2;2;3;1;2;3;3
56;2;3;5;4,75;0;1;1;0;1;8;4;2;2;1;1;2;2;1;2;3;3
57;2;1,5;3,75;2;0;0;1;0;0;0;7;1;1;1;1;1;2;1;1;1;3
58;2;2,5;9,75;9,25;0;0;1;0;0;5;4;1;3;3;1;1;2;1;1;3;3
59;3;3;25,4;9;0;2;1;0;0;6;3;2;3;2;1;3;2;1;1;3;2
60;3;3;13,1;8,75;0;1;1;0;0;2;0;2;3;2;1;2;2;1;1;2;1
61;3;3;0;6;0;0;1;0;0;6;0;2;1;2;1;1;2;1;1;3;1
62;3;3,5;2;6,25;0;0;1;0;0;0;2;2;1;2;1;1;2;1;1;1;2
63;3;1,5;3;5,75;0;1;0;0;3;2;0;1;1;2;1;2;1;1;2;2;1
64;3;2,2;5;3,5;1;0;0;0;0;2;3;1;2;1;2;1;1;1;1;2;2
65;3;4,4;12,9;7;1;1;1;0;0;2;4;2;3;2;2;2;2;1;1;2;3
66;3;7;8,5;13;0;2;3;0;60;7;3;3;2;3;1;3;3;1;2;3;2
67;3;7;10,35;12,5;2;2;2;1;58;8;7;3;3;3;2;3;3;2;2;3;3
68;3;6,5;0;13,5;0;2;1;1;24;7;5;3;1;3;1;3;2;2;2;3;3
69;3;11;10;15,5;0;1;2;0;57;32;18;3;3;3;1;2;3;1;2;3;3
70;3;1,5;8,9;2,25;0;1;0;0;0;0;0;1;2;1;1;2;1;1;1;1;1
71;3;1,9;9,5;5,5;0;0;1;0;0;0;2;1;3;1;1;1;2;1;1;1;2
72;3;2;12,5;3,5;0;1;0;0;0;1;3;1;3;1;1;2;1;1;1;2;2
73;3;7;27;17;0;0;2;1;7;9;12;3;3;3;1;1;3;2;2;3;3
74;3;2;15,8;6;0;0;0;0;0;4;2;1;3;2;1;1;1;1;1;3;2
75;3;5;6;7,5;0;1;1;1;0;1;2;3;2;2;1;2;2;2;1;2;2
76;3;2,5;0;3,25;1;1;0;0;0;0;12;1;1;1;2;2;1;1;1;1;3
77;3;4,4;1,6;8;0;2;0;0;0;2;9;2;1;2;1;3;1;1;1;2;3
78;1;4,5;3,25;9;0;0;1;1;0;1;4;2;1;2;1;1;2;2;1;2;3
79;1;2,5;0;6;0;1;1;0;0;4;0;1;1;2;1;2;2;1;1;3;1
80;1;4;9,5;10;0;1;1;0;2;9;3;2;3;3;1;2;2;1;2;3;2
81;1;3,5;3,3;5;0;0;1;0;0;4;4;2;1;1;1;1;2;1;1;3;3
82;1;1,5;10,8;5,75;0;0;1;0;0;4;2;1;3;2;1;1;2;1;1;3;2
83;1;1;2;2;0;1;0;0;0;0;0;1;1;1;1;2;1;1;1;1;1
84;1;3;3,6;4,5;0;1;0;0;0;1;3;2;1;1;1;2;1;1;1;2;2
85;1;3;6,8;5,25;0;1;0;0;0;2;4;2;2;1;1;2;1;1;1;2;3
86;1;4;19;10,5;0;1;1;0;0;6;6;2;3;3;1;2;2;1;1;3;3
87;1;7,5;31,7;10,75;0;2;1;0;0;0;4;3;3;3;1;3;2;1;1;1;3
88;1;4,5;0;7,5;0;0;1;0;0;7;2;2;1;2;1;1;2;1;1;3;2
89;1;2,5;3;4;0;0;1;0;0;0;5;1;1;1;1;1;2;1;1;1;3
90;1;1,5;0;2,75;0;1;0;0;0;0;3;1;1;1;1;2;1;1;1;1;2
91;1;3;6;4,5;0;0;1;0;0;2;4;2;2;1;1;1;2;1;1;2;3
92;1;5;16;12,75;0;1;1;0;0;9;1;3;3;3;1;2;2;1;1;3;2
93;1;3,5;7,6;7,5;0;0;2;0;0;3;2;2;2;2;1;1;3;1;1;2;2
94;1;4;5,9;5;0;0;2;0;3;3;0;2;2;1;1;1;3;1;2;2;1
95;1;2,4;0;0,5;0;0;0;0;0;5;0;1;1;1;1;1;1;1;1;3;1
96;1;2,5;6;5,5;0;1;0;0;0;2;0;1;2;1;1;2;1;1;1;2;1
97;1;4;8;8;0;1;1;0;0;5;4;2;2;2;1;2;2;1;1;3;3
98;1;4;5;5;0;1;1;0;0;0;2;2;2;1;1;2;2;1;1;1;2
99;1;3;23,3;9,5;0;1;1;0;0;7;2;2;3;3;1;2;2;1;1;3;2
100;1;1,5;0;1,75;0;1;1;0;0;1;0;1;1;1;1;2;2;1;1;2;1
101;1;3;0;6,5;0;0;1;0;0;2;0;2;1;2;1;1;2;1;1;2;1
102;1;3;0;3,5;0;0;1;0;0;3;0;2;1;1;1;1;2;1;1;2;1
103;1;3,5;16,3;7,25;0;0;1;0;0;3;2;2;3;2;1;1;2;1;1;2;2
104;1;4;14,5;10,25;0;0;1;1;3;1;0;2;3;3;1;1;2;2;2;2;1
105;1;1,5;6;3;1;0;0;0;0;1;3;1;2;1;2;1;1;1;1;2;2
106;1;1,5;1,8;2,5;1;0;0;0;0;1;0;1;1;1;2;1;1;1;1;2;1
107;1;1,5;0;3,5;2;0;1;0;0;2;2;1;1;1;2;1;2;1;1;2;2
108;1;2,5;0;6,75;0;2;0;0;0;1;4;1;1;2;1;3;1;1;1;2;3
109;1;2;2,5;8,5;0;1;1;0;0;2;0;1;1;2;1;2;2;1;1;2;1
110;1;8;12,3;13,75;0;2;2;0;1;3;1;3;3;3;1;3;3;1;2;2;2
111;1;8;8;8;0;1;3;0;0;7;4;3;2;2;1;2;3;1;1;3;3
112;1;6;9;14;0;3;1;0;0;14;0;3;2;3;1;3;2;1;1;3;1
113;1;8;31,7;19;0;1;2;0;0;10;8;3;3;3;1;2;3;1;1;3;3
114;1;4,5;6;6;0;2;1;0;0;4;2;2;2;2;1;3;2;1;1;3;2
115;1;1,5;3;3,75;0;1;0;0;0;0;0;1;1;1;1;2;1;1;1;1;1
116;1;3,5;4;5;0;1;2;1;11;3;3;2;1;1;1;2;3;2;2;2;2
117;1;1,5;1;2,5;0;1;1;0;0;2;2;1;1;1;1;2;2;1;1;2;2
118;1;3;7;8,5;0;1;1;0;1;8;5;2;2;2;1;2;2;1;2;3;3
119;1;3;8,4;8;0;1;1;1;0;8;0;2;2;2;1;2;2;2;1;3;1
120;1;6,7;10,7;13,5;0;2;2;0;0;11;7;3;3;3;1;3;3;1;1;3;3
121;1;1,5;0;2;0;0;1;0;0;3;1;1;1;1;1;1;2;1;1;2;2
122;1;4,2;14;8,75;0;1;1;0;0;11;8;2;3;2;1;2;2;1;1;3;3
123;1;2,2;4;6,5;0;2;0;0;0;7;4;1;1;2;1;3;1;1;1;3;3
124;1;1,5;6,2;6,25;0;0;1;0;0;3;1;1;2;2;1;1;2;1;1;2;2
125;1;3;6;4,75;0;1;0;0;0;2;1;2;2;1;1;2;1;1;1;2;2
126;1;2;4;2,75;0;1;0;0;0;0;1;1;1;1;1;2;1;1;1;1;2
127;1;5;28,5;13,25;0;1;4;0;0;27;10;3;3;3;1;2;3;1;1;3;3
