Label;Identif;Puiss_admi;Cylindree;Moteur;Trasmissio;Longueur;Largeur;Surface;Poids_Tota;Vit_Maxi;Dep_arret;MARQUE_QL;Conso_Moye
Alfa-Roméo 33 1,5 ie;Alfa33ie;7;1490;1;1;4,07;1,61;6,58;970;180;31,4;1;7,7
Alfa-Roméo 155 2,0;Alfa155;10;1995;1;1;4,44;1,7;7,55;1215;205;31,3;1;8
Alfa-Roméo 155 TD;Alfa155D;6;1929;2;1;4,44;1,7;7,55;1250;180;35;1;6,4
Alfa-Roméo 164 2,5 T;Alfa164T;7;2500;2;1;4,55;1,76;8,02;1490;202;32,2;1;6,8
BMW 316i;BMW316i;7;1596;1;2;4,43;1,7;7,53;1190;191;34,1;2;7,9
BMW 325 TD;BMW325TD;7;2498;2;2;4,43;1,7;7,53;1335;198;33,3;2;6,9
BMW 518i;BMW518i;10;1796;1;2;4,72;1,75;8,26;1360;194;33,6;2;8,6
BMW 525 TD;BMW525TD;7;2498;2;2;4,72;1,75;8,26;1465;188;X;2;7,6
BMW 730i;BMW730i;16;2986;1;2;4,91;1,85;9,06;1600;222;30,1;2;11,1
Citroën AX1,0;CitAX10;12;954;1;1;3,53;1,55;5,48;706;149;38,3;3;5,8
Citroën AX1,4i;CitAX14i;7;1360;1;1;3,53;1,55;5,48;772;176;33,6;3;6,7
Citroën AX14TD;CitAX14D;4;1360;2;1;3,53;1,55;5,48;720;152;38,3;3;4,2
Citroën ZX1,1;CitZX1,1;5;1124;1;1;4,07;1,7;6,93;935;161;37,6;3;6,6
Citroën ZX1,6;CitZX1,6;7;1580;1;1;4,07;1,7;6,93;995;177;34,9;3;7,5
Citroën ZX1,9TD;CitZX19D;5;1905;2;1;4,07;1,7;6,93;1050;185;34;3;5,9
Citroën XANTIA 1,6I;CitXAN16;7;1580;1;1;4,44;1,75;7,8;1124;175;36,4;3;7,9
Citroën XANTIA 1,8I;CitXAN18;9;1761;1;1;4,44;1,75;7,8;1176;187;34,3;3;7,9
Citroën XANTIA 2,0i;CitXAN20;11;1998;1;1;4,44;1,75;7,8;1238;198;33,3;3;8,3
Citroën XANTIA TD;CitXANTD;6;1905;2;1;4,44;1,75;7,8;1252;180;35,5;3;6,5
Citroën XM 2,0i;CitXM20i;11;1998;1;1;4,71;1,79;8,45;1310;201;33,3;3;9,5
Citroën XM V6;CitXMV6;16;2963;1;1;4,71;1,79;8,45;1420;222;33,3;3;9,5
Citroën XM TD12;CitXMTD;6;2088;2;1;4,71;1,79;8,45;1396;192;34,6;3;6,4
Fiat Panda 1000i,e;FiatPand;4;999;1;1;3,41;1,49;5,09;715;140;X;4;6,2
Fiat UNO 1,4i,e;FiaUNO14;6;1372;1;1;3,69;1,56;5,75;860;165;34;4;7,4
Fiat UNO TD;FiaUNOTD;5;1367;2;1;3,69;1,56;5,75;910;165;34;4;5,3
Fiat TIPO 1,8ie;FiaTIP18;9;1756;1;1;3,96;1,7;6,73;1180;183;33;4;8,8
Fiat TIPO TD;FiaTIPTD;6;1929;2;1;3,96;1,7;6,73;1150;175;34;4;5,9
Fiat TEMPRA 1,8ie;FiaTEM18;9;1756;1;1;4,35;1,7;7,38;1190;188;32,7;4;8,5
Fiat TEMPRA TD;FiaTEMTD;6;1929;2;1;4,35;1,7;7,38;1190;178;34;4;6
Fiat CROMA 2,0;FiaCRO20;10;1995;1;1;4,52;1,76;7,95;1250;190;32,1;4;8,9
Fiat CROMA 2,5 TD;FiaCRO25;8;2500;2;1;4,52;1,76;7,95;1370;192;33;4;7,2
Ford Fiesta 1400;FordFi14;6;1392;1;1;3,74;1,61;6,01;840;163;X;5;7,2
Ford Fiesta TD;FordFiTD;5;1753;2;1;3,74;1,61;6,01;900;170;X;5;6,1
Ford Escort 1400;FordEs14;6;1391;1;1;4,1;1,7;6,96;X;163;X;5;7,8
Ford Escort 1800 TD;FordEs18;6;1753;2;1;4,1;1,7;6,96;X;172;X;5;6,3
Ford MONDEO 1800i;FordMO18;7;1796;1;1;4,48;1,75;7,83;1277;197;X;5;7,2
Ford MONDEO TD;FordMOTD;5;1753;2;1;4,48;1,75;7,83;1277;183;X;5;6,2
Ford Scorpio 2000i;FordSc20;10;1998;1;1;4,74;1,69;8,03;1245;195;X;5;7,7
Ford Scorpio 2900i;FordSc29;15;1998;1;1;4,74;1,69;8,03;1345;201;X;5;10,8
Peugeot 106 XN;Peu106XN;4;954;1;1;3,56;1,58;5,62;760;145;39;6;5,9
Peugeot 106 XTD;Peu106XD;4;1360;2;1;3,56;1,58;5,62;840;145;40,1;6;4,8
Peugeot 306 XN;Peu306XN;6;1360;1;1;3,99;1,69;6,75;1020;165;36,2;6;6,7
Peugeot 306 XTDT;Peu306XD;6;1905;2;1;3,99;1,69;6,75;1120;180;34,2;6;6
Peugeot 405 GL;Peu405GL;6;1360;1;1;4,41;1,69;7,46;1030;169;36,3;6;7,1
Peugeot 405 SR;Peu405SR;7;1761;1;1;4,41;1,69;7,46;1100;185;33,5;6;7,5
Peugeot 405 STD;Peu405SD;6;1905;2;1;4,41;1,69;7,46;1150;181;34,4;6;7,2
Peugeot 605 SLi;Peu605SL;9;1998;1;1;4,72;1,8;8,5;1295;199;33,2;6;9,5
Peugeot 605 Sv24;Peu605Sv;16;2975;1;1;4,72;1,8;8,5;1460;235;28,6;6;9,5
Peugeot 605 SLD;Peu605SD;6;2138;2;1;4,72;1,8;8,5;1360;176;36,5;6;6,6
Renault Twingo;RenTwing;5;1239;1;1;3,43;1,63;5,59;790;150;35,9;7;6,5
Renault Clio 1,2 RN;RenCL12;5;1171;1;1;3,71;1,62;6,02;825;155;38,8;7;6,2
Renault Clio 1,4 RN;RenCL14;6;1390;1;1;3,71;1,62;6,02;850;175;33;7;6,4
Renault Clio 1,9D;RenCL19;6;1870;2;1;3,71;1,62;6,02;905;161;36;7;5,5
Renault 19 1,4RN;Ren19_14;7;1390;1;1;4,16;1,7;7,08;965;173;34;7;6,6
Renault 19 1,8RN;Ren19_18;7;1794;1;1;4,16;1,7;7,08;1045;176;33,6;7;7,7
Renault 19 1,9 dT;Ren19_19;5;1870;2;1;4,16;1,7;7,08;1080;183;32,9;7;5,9
Renault 21 Prima TS;Ren21Pri;7;1721;1;1;4,53;1,73;7,82;1010;185;32,1;7;7,5
Renault 21 Prima TD;Ren21PrD;6;2068;2;1;4,53;1,73;7,82;1130;177;33,5;7;6,1
Renault Safrane2,0i;RenSaf20;9;1995;1;1;4,73;1,82;8,61;1370;189;33,8;7;8,8
Renault Safrane2,5 d;RenSaf25;6;2499;2;1;4,73;1,82;8,61;1565;195;34,3;7;7,6
Renault Espace 2,2i;RenEsp22;11;2165;1;1;4,43;2,06;9,13;1320;175;33,9;7;9,7
Renault Espace 2,1dT;RenEsp21;6;2068;2;1;4,43;2,06;9,13;1350;162;36,5;7;7,5
