vif	carc	qsup	tota	gras	os	race
395	224	35.1	79.1	6	14.9	1
410	232	31.9	73.4	9.7	16.4	1
405	233	30.7	76.5	7.5	16.5	1
405	240	30.4	75.3	8.7	16	1
390	217	31.9	76.5	7.8	15.7	1
405	243	32.1	77.4	7.1	15.5	1
390	229	32.1	78.4	4.6	17	1
405	240	31.1	76.5	8.2	15.3	1
420	234	32.4	76	7.2	16.8	1
390	223	33.8	77	6.2	16.8	1
415	247	30.7	75.5	8.4	16.1	1
400	234	31.7	77.6	5.7	18.7	1
400	224	28.2	73.5	11	15.5	2
395	229	29.4	74.5	9.3	16.1	2
395	219	29.7	72.8	8.7	18.2	2
395	224	28.6	73.7	8.7	17.3	2
400	223	28.5	73.1	9.1	17.7	2
400	224	27.8	73.2	12.2	14.6	2
400	221	26.5	72.3	13.2	14.5	2
410	233	25.9	72.3	11.1	16.6	2
402	234	27.1	72.1	10.4	17.5	2
400	223	26.8	70.3	13.5	16.2	2
400	213	25.8	70.4	12.1	17.5	2
